geoid,geography_name,title,range_min,range_max,estimate,margin_of_error,proration_available_units
0550000US08001,Adams County (Unincorporated),VALUE,0,10000,285,479,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,10000,14999,98,229,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,15000,19999,165,229,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,20000,24999,220,199,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,25000,29999,390,124,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,30000,34999,145,216,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,35000,39999,92,217,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,40000,49999,108,346,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,50000,59999,295,304,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,60000,69999,21,300,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,70000,79999,80,260,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,80000,89999,8,234,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,90000,99999,73,233,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,100000,124999,201,291,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,125000,149999,266,192,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,150000,174999,429,346,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,175000,199999,698,281,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,200000,249999,2003,686,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,250000,299999,2594,1261,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,300000,399999,7018,2084,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,400000,499999,2750,1517,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,500000,749999,4325,907,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,750000,999999,1291,358,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,1000000,1499999,259,259,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,1500000,1999999,37,145,0.28469959054065347
0550000US08001,Adams County (Unincorporated),VALUE,2000000,5252000,83,147,0.28469959054065347
0550000US08003,Alamosa County (Unincorporated),VALUE,0,10000,165,55,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,10000,14999,4,25,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,15000,19999,19,5,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,20000,24999,82,33,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,25000,29999,39,9,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,30000,34999,14,6,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,35000,39999,0,11,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,40000,49999,21,0,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,50000,59999,27,1,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,60000,69999,40,8,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,70000,79999,34,9,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,80000,89999,110,7,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,90000,99999,23,3,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,100000,124999,141,11,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,125000,149999,100,1,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,150000,174999,170,18,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,175000,199999,219,38,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,200000,249999,100,6,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,250000,299999,147,7,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,300000,399999,260,52,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,400000,499999,68,12,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,500000,749999,34,10,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,750000,999999,32,21,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,1000000,1499999,0,13,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,1500000,1999999,12,12,0.20021413276231265
0550000US08003,Alamosa County (Unincorporated),VALUE,2000000,5252000,7,10,0.20021413276231265
0550000US08005,Arapahoe County (Unincorporated),VALUE,0,10000,195,254,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,10000,14999,9,174,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,15000,19999,8,218,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,20000,24999,0,199,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,25000,29999,16,214,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,30000,34999,12,228,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,35000,39999,43,188,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,40000,49999,33,220,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,50000,59999,114,147,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,60000,69999,7,178,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,70000,79999,69,207,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,80000,89999,66,192,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,90000,99999,16,179,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,100000,124999,171,172,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,125000,149999,94,247,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,150000,174999,107,250,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,175000,199999,417,149,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,200000,249999,748,491,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,250000,299999,982,724,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,300000,399999,3524,1207,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,400000,499999,5387,1028,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,500000,749999,6946,996,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,750000,999999,1740,646,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,1000000,1499999,677,579,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,1500000,1999999,270,343,0.3124799486685916
0550000US08005,Arapahoe County (Unincorporated),VALUE,2000000,5252000,168,399,0.3124799486685916
0550000US08007,Archuleta County (Unincorporated),VALUE,0,10000,11,6,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,10000,14999,0,7,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,15000,19999,2,10,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,20000,24999,9,5,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,25000,29999,3,7,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,30000,34999,54,14,0.3194266700793448
0550000US08007,Archuleta County (Unincorporated),VALUE,35000,39999,0,7,0.3194266700793448
